seccion;header;question;correct_answer;ans_type;extra
;Read the questions. Tap Show to see some answers. Choose the correct answer for each question.;Did you use to drive a red car? ;Answer D*Answer A*Answer C*Answer B;dropdown;
;Put the words in the correct order to form a question.;.;Which company*did*you*use to*work*for;buttons_sel;
;Listen and choose the correct answer.;Which question is she answering?;Did you live on Bedford Street a few years ago?;listbox;
;;;;;
Vocabulary practice 1: TV shows and movies;Complete the sentence. There are two extra words.;In ;animated*movies;buttons_sel;
;Listen and choose the correct answer.;What kind of movie did Steve probably watch?;comedy;listbox;
;Complete the sentence.;There is a great new ;drama;buttons_sel;
;Choose the correct answer.;What type of TV or radio program gives facts and information about something?;a documentary;listbox;
;Complete the sentence.;take part in a;game show;dropdown;
;Complete the sentence.;I never watch;horror;buttons_sel;
;Choose the correct answer.;In which TV program or movie can you hear a lot of songs?;in a musical;listbox;
;Complete the conversation. There are two extra words.;I'm watching a;reality*show;buttons_sel;
;Complete the sentence.;My boyfriend doesn't want to watch;romantic comedies;dropdown;
;Choose the correct answer.;Which type of movie happens in the future and often includes space travel?;a science fiction movie;listbox;
;Complete the conversation. There are two extra words.;My grandma used to watch this;soap*opera;buttons_sel;
;Choose the correct answers.;Which kinds of programs don't usually have professional actors?;talk show*quiz show*reality show;buttons_sel;
;Complete the sentence.;are not as frightening as horror movies, but they are a bit;Thrillers;dropdown;
;;;;;
Vocabulary practice 2: TV shows and movies;Complete the words for TV shows and movies.; First, match the words below.;romantic*soap*fiction*show*animated;buttons_sel;
;Complete the conversation.; I'm very scared. I was watching a ;horror;dropdown;
;Complete the word.;My cousin is a scientist. He made a;documentary;text_input;
;Complete the sentence.;My whole family watches the same;soap*opera;text_input;
;Choose the correct answer.;Which sentence is about a movie, not a TV show?;That new romantic comedy is even;listbox;
;Listen, and then choose the correct answer.;Matt is describing his favorite thing to watch. What's he talking about?;a thriller;listbox;
;Choose the correct answer;Which word can you use to complete all three vocabulary items?;show;listbox;
;Listen, and then choose the correct answer.;Kirsten is talking about a kind of movie. Which genre is she describing?;a romantic comedy;listbox;
;Complete the sentence with one of the words below.;Phil is a big fan of ;musicals;text_input;
;Read the sentence. Then choose the correct answer.;Which sentence has a similar meaning?;My sister watches a TV series with actors who play doctors.;listbox;
;Complete the words.;;game show*animated movie*documentary*musical*soap opera*science fiction*horror;text_input;
;;;;;
"Grammar practice 1: Comparisons with ""(not) as … as""";Read the example sentences and choose all the correct answers. ;Which two sentences mean the same thing?;Your ticket was more expensive than mine.*There was no difference between your seats and ours.;listbox;
;Read the examples and complete the sentences.;Daniela likes ;animated movies*likes;dropdown;
;Read the example sentence and choose the correct answer.;Which is funnier?;talk shows;listbox;
;Complete the sentence.;Here's a cool fact! This monument here is;as old;dropdown;
;Complete the sentence. There are two extra options.;This is the best historical drama I've ever seen. Perhaps the second season;isn't*as*interesting*as;buttons_sel;
;Listen and choose the correct answer;Which sentence is true about the speaker's friends?;Jennifer isn't as reliable as Maya.;listbox;
;Complete the sentence. There are two extra words.;This bike;is*as*as;listbox;
;Choose the correct answer;What can the speaker say about himself and Liam?;I don't think I am as generous as Liam.;listbox;
;Put the words in the correct order.;.;Monica*doesn't*watch TV*as*often*as*her brothers;buttons_sel;
;Listen and choose the correct answer.;Which sentence is true?;Jonathan isn't as relaxed about the exam as Paul.;listbox;
;Complete the conversation. There are two extra words.;The blue T-shirt;is*as*nice*as;buttons_sel;
;;;;;
"Grammar practice 2: Comparisons with ""(not) as … as""";Complete the paragraph. Use the words below.;I don't go to basketball games as;often*exciting*people*much;text_input;
;Listen. Then choose the correct answer.;Which question is the person answering?;Do you think horror films are as interesting as documentaries?;listbox;
;Read the examples, and then complete the sentence.;These three sentences have;the same meaning;dropdown;
;Complete the second sentence so that it means the same as the first.;"I  think ""Toy Story 2"" is";as*good*as;text_input;
;Tap Show to read a conversation. Then choose True or False.;David watches fewer movies now than he used to.;True*False*True;dropdown;
;The example sentences are false. Choose the correct answers.;Which sentence is correct?;Tablet screens aren't as big as TV screens.*A lake doesn't have as much water as an ocean.;;
;Complete the sentences.;Use the correct form of the words in parentheses and as … as.;as exciting as*as much action as;text_input;
;;;;;
While you watch;Watch the video. Complete the sentences with the correct numbers.;;54*1905*5;buttons_sel;
;Watch the video and use the numbers to put the events in order. Use 1 for the earliest event to 5 for the most recent event.;;5*4*2*1*3;dropdown;
;Watch part of the video. Complete the sentences.;;used to be*the price*trains*documentaries*musicians;dropdown;
;Watch part of the video. Choose True or False.;;False*True*False*True;dropdown;
;Read, and then choose the correct answer.;;It's expensive.;listbox;
;;;;;
After you watch;Listen to the conversation. Choose the correct answers.;Where did Carolina watch movies in the past?;at a movie theater*on TV or on her phone;listbox;
;Tap Show to read the next part of the conversation. Choose True or False.;Tom used to watch animations but not comedies.;False*True*False*True;dropdown;
;Tap Show to read the whole conversation. Complete the sentences.;.;Carolina and Tom*Tom*Carolina*Carolina*Tom;buttons_sel;
;;;;;
Functional language practice;Complete the conversation.;That's very kind of you. I;would love to, but*Oh, that's too bad.*Unfortunately;dropdown;
;Put the words in the correct order.;.;Let me*know*if*you*change*your*mind.;buttons_sel;
;Complete the expressions.;I'd love to,;but I'm busy.*thanks for asking,*after that.*too bad.;;
;Listen to a conversation and choose the correct speakers.;I'm sorry, but I can't. ;Ale*Joe*Ale*Joe;dropdown;
;Listen again and complete the conversation.;Oh, that's;too bad*maybe*Unfortunately*understand;text_input;
;Choose the correct categories for the expressions.;Let me know if you change your mind.;Reacting to a refusal*Refusing an invitation*Refusing an invitation*Reacting to a refusal*Reacting to a refusal*Reacting to a refusal*Refusing an invitation;;
;;;;;
Real-world strategy;Listen to a conversation. Choose the correct answers.;What does Victor want to do?;go to a concert*He has other plans.*He doesn't like heavy metal music.;listbox;
;Listen again. Complete the sentences.;Nate uses the adjective;crazy*sort of;dropdown;
;Put the words in the correct order to complete the response.;I'm sorry,;but*I'm*sort*of*tired;buttons_sel;
;Listen and complete the conversation with a softening expression.;Ah. I'm sorry, Jon. I'm ;kind*of;text_input;
;Put the words in the correct order to complete the response.;;I'd*love*to,*but*it's*kind*of;buttons_sel;
;;;;;
Lesson review: Prepare for the role-play;Complete the conversations;I think I want to stay home on Friday. But;thanks for asking*Maybe after that.*I understand.;dropdown;
;Listen to Jay and Fabrizio's conversation. Complete the sentences.;You can tap Show to read along.;Fabrizio*he's tired.*kind of;dropdown;
;Listen to Jay and Fabrizio's conversation again. Choose all the correct answers.;Which expressions do you hear?;I'd love to, but…*Oh, that's too bad.*Let me know if you change your mind.*Maybe after that.;listbox;
;Listen to another conversation. Choose the correct answers.;How many invitations does Carl make?;three*She has family visiting;listbox;
;;;;;
Reading skills;Read for gist: Tap Show to read an article about animation. Choose the correct answer.;What is the main idea of the article?;Adults and kids like animated movies for many reasons.;listbox;
;ap Show to read the article again, and then choose the correct answer.;Which topic is not mentioned in the article?;scary moments;listbox;
;Identify supporting details: Tap Show to read part of the article again. Then choose all the correct answers.;What supporting details explain why technology helps adults enjoy animated movies?;Modern animated movies have realistic characters and actions.*Characters can show realistic feelings and their facial expressions are realistic, too.;listbox;
;Identify supporting details: Tap Show to read part of the article again. Choose the correct answer.;Why do certain topics help adults enjoy animated movies?;Adults recognize and understand the movie topics from their own lives.;listbox;
;;;;;
Reading practice;Tap Show to read Mateo's movie review. Complete the sentences.;Mateo;enjoyed*Not everything;dropdown;
;Tap Show to read Mateo's movie review again and complete the sentence.;The adjective that Mateo uses to describe the voice actors is ;perfect;text_input;
;Tap Show to read the movie review again. Choose True or False.;Mateo has always enjoyed animated movies.;False*True*True*True*False;dropdown;
;;;;;
Writing skill practice;Tap Show to read part of a movie review and complete the sentence.;This part comes ;in the middle;buttons_sel;
;Choose the correct answer.;What does this sentence do?;It gives a final statement.;buttons_sel;
;Read the examples. Then complete the sentences.;This is a;positive opinion*negative opinion;dropdown;
;Tap Show to read part of a movie review and choose the correct answer.;.;This is the beginning of the review.;listbox;
;Tap Show to read the movie review. Choose the correct part for each idea;gives a brief description of the story:;Part 2*Part 4*Part 1*Part 3;dropdown;
;;;;;
;;;;;
;;;;;
;;;;;
Vocabulary review;Tap Show to read a conversation. Then complete the sentences. ;Dan is frightened of;horror*musical*soap opera*documentary;dropdown;
;Look at the photo and complete the sentence.;The people are most likely playing;jazz;dropdown;
;Choose the correct TV or movie genre for each group of words.;information, real, learn: ;a documentary*science fiction*a game show*a comedy;buttons_sel;
;Complete the sentence.;When I lived at home, we used to watch a new episode of our favorite;soap opera;dropdown;
;Complete the sentence.;This describes ;folk;dropdown;
;Complete the sentence.;.;Rock music*EDM;buttons_sel;
;Listen and complete the sentence.;She should watch;a romantic comedy;dropdown;
;Complete the sentence.;People often say that;animated;dropdown;
;Choose the correct answer.;What type of music is this?;hip-hop;listbox;
;Look at the photo and choose the correct answer.;What type of music are they playing?;classical;listbox;
;Review the vocabulary. Put the words into the correct categories.;You can tap Show to see the rest of the vocabulary from Unit 7 one more time;documentary*drama*science fiction*soap opera*thriller*country*heavy metal*jazz*pop;;
;;;;;
Grammar review;Read the information. Then read the example sentence and choose all the correct answers.;Which sentences have a similar meaning?;When I was younger, I worked in a small café.*I worked in a small café for a few years.;dropdown;
;Complete the sentences.;This sentence uses;much*non-count noun*an adverb*an adjective*many*count noun;buttons_sel;
;Complete the sentences.;violin – I can't play ;as beautifully as*as often as*used to;dropdown;
;Listen and complete the question.;.;Did*use to;text_input;
;Notice the mistakes in the examples. Then complete the sentences.;Write one word in each space.;used*use*use*used*used*use;text_input;
;Read the example. Complete the sentence so it has the same meaning.;When I was a kid, I;used to like;text_input;
;Put the words in the correct order to form a sentence.;.;I*dont think*your grey suit*is*as*nice*as the blue one;buttons_sel;
;Listen and choose the correct answers.;Who bought more clothes?;Sandro*It doesn't have much choice, but the clothes are great.*an Italian restaurant;listbox;
;Listen again and complete the conversation.; I didn't buy ;as many clothes as*as much choice as*used to be;listbox;
;Put the words in the correct order to complete the sentence. There is one extra word.;I;didn't*use*to*like;buttons_sel;
;;;;;
Functional language review;Choose all the correct answers. ;Which expressions can you use to react to a refusal?;Oh, that's too bad.*I understand.*Let me know if your plans change.;listbox;
;Listen to a conversation. Complete the sentences.;Simon suggests;two types*softens;dropdown;
;Listen again and complete the conversation.;;I'm sorry*sort of*I'd love to*kind of;;
;Put the words in the correct order.;This is an expression you can use to respond to a refusal.;Let*me*know*if*your*plans*change;buttons_sel;
;Complete the conversation.;Do you want to meet for lunch at 1?;I'd love to*Unfortunately*But thanks anyway;buttons_sel;
;Complete the conversation.;Unfortunately, I can't join you for dinner tonight. I don't feel well.;Oh, that's too bad.;dropdown;
;Put the words in the correct order.;class tomorrow morning?;I'm sorry,*but*I'm*kind of*bored of*the gym;buttons_sel;
;;;;;
Reading and writing skills review;Read for gist: Tap Show to read an article. Then choose the correct answer.;What does the author think about documentaries?;They're about real and interesting things.;listbox;
;Tap Show to read the article again, and then complete the sentence.;Documentaries are;more;buttons_sel;
;Tap Show to read the article again. Complete the sentence.;Documentaries are about;large and small topics;dropdown;
;Choose all the correct answers.;According to the author, what features make documentaries more popular now?;better technology*famous actors' voices*real-life topics;listbox;
;Writing skills: Complete the sentences.;First, introduce the movie and give your initial feeling or ;opinion*description*psotive*recommendation;buttons_sel;
;Writing skills: Read the parts of a review. Choose the correct numbers to put the sections in order.;;2*1*4*3;dropdown;
;Tap Show to read the movie review again. Complete the sentences.;One positive thing that the writer mentions is;the movie’s message*the animation style;buttons_sel;
;   ;;;;
Listen and watch;Watch the video and choose all the correct answers.;Who talks about the things they like now?;Evelyn*Maya;listbox;
;Watch the video again and choose the correct answer.;Who used to enjoy different food?;Maya;dropdown;
;Watch the video again and choose the correct answer.;Whose taste in sports has changed?;Brittany;listbox;
;Watch the video and choose all the correct answers.;Who gives reasons why they didn't like something in the past?;Evelyn*Maya;listbox;
;Watch the video again and choose the correct answer.;What didn't Brittany use to like to do?;read;listbox;
;Watch the video and choose the correct answer.;What was Maya afraid of when she was younger?;car washes;listbox;
;Watch the video and complete the sentence.;because I;thought;text_input;
;Watch the video and complete the sentence.;Now I like to read. I;didn't like;text_input;
;Watch the video and complete the sentences.;But now that I'm;older*scary;text_input;
;Listen and complete the sentences.;In the past, Jess mostly read about ;science fiction*animals*books and blogs*science and medicine;;
;Listen and complete the sentences.;have many friends. But I;didn't use to*as*many*as;text_input;
;;;;;
Vocabulary practice 1: Describing experiences;Choose the correct answer;What is Marc describing?;a challenge and an achievement;listbox;
;Complete the conversation.;this weekend? It's a really big;job*chore;dropdown;
;Choose the correct answer.;What do people usually see as an achievement?;winning a competition;listbox;
;Complete the sentence.; I have to deal with;challenges;dropdown;
;Listen and choose the correct answer.;What does Lucas need to do?;make a change in his life;listbox;
;Complete the information.;Which words and phrases are chores?;doing laundry*vacuuming*washing dishes;buttons_sel;
;Complete the sentence.;A friend gave me the;opportunity;buttons_sel;
;Complete the sentence;Axel has finished his end-of-year;project;dropdown;
;Listen and choose the correct answer;How does the man describe adding new products to his store?;as a success;listbox;
;;;;;
Vocabulary practice 2: Describing experiences;let's check how much you remember!;let's check how much you remember!;process*achievement*challenge*chore*opportunity;text_input;
;Listen and complete the sentences.;Nick's grandmother didn't have the ;opportunity*achievement*challenge;text_input;
;Choose the correct answer.;What is a chore for many people?;putting the trash out;listbox;
;Complete the sentence.;describe a ;process;dropdown;
;Choose all the correct answers.;Which sentences describe a challenge?;We hiked to the top of the mountain. It took all day.*They need to raise 10,000 dollars for charity.*I've never played piano before, but I'm going to try.;listbox;
;Then choose all the correct answers.;Which sentences are true?;Petra is working on a project about pollution.*Petra is describing the process for working on a project.;listbox;
;Complete the sentence.;I have a couple quick;chores;text_input;
;Read the sentences. Some words are missing. Then choose the correct answer.;Which word can go in all the spaces?;opportunity;listbox;
;Then choose True or False.;Pedro didn't use to take many opportunities.;False*True;dropdown;
;Complete the sentences.;It's usually good if something is a;success*process*chores*challenges;buttons_sel;
;;;;;
Grammar practice 1: Present perfect continuous;Choose all the correct answers.;Which sentences that use correct grammar?;Have you been using the new app I showed you?*Jon hasn't been traveling much this year.*Katie and Ricardo have been studying Mandarin.;listbox;
;Complete the conversation.; Hey, Emma. ;Has*been*working with*she hasn't*'s been*volunteering;buttons_sel;
;Complete the sentence.;Daniel's band;has been playing;dropdown;
;Complete the conversation. There are two extra options.;Have;you*been*studying*have;buttons_sel;
;Complete the sentence;Mark and I;have been;dropdown;
;Put the words in the correct order to form a question.;Hey, Mateo;What*have*you*been*doing*recently?;buttons_sel;
;Listen and complete the sentence.;.;hasn't been;dropdown;
;Complete the conversation. There is one extra word.;I; 've*been*trying*'s*been*traveling;;
;Complete the conversation.;I heard Amy moved out of her parents' house in January. Has;she been living*hasn't;dropdown;
;Complete the sentence. There are two extra words.;Jacob;has*been*looking;buttons_sel;
;Complete the conversation.;Oh, hi, Nick.;Have you*waiting;dropdown;
;Complete the sentence. There are two extra words.;We;have*been*cooking;buttons_sel;
;;;;;
Grammar practice 2: Present perfect continuous;Listen and choose the correct answer.;Which is the best response?;Javier: Well, I'm super busy. My band has been playing concerts every night.;listbox;
;Complete the conversation.;You look tired!;have been working*Have*been doing*Have*been sleeping;text_input;
;Complete the sentence.;I have an exam this week, so;I've*been studying*my mom*has*been doing;buttons_sel;
;Complete the question.;.;Have you been trying;text_input;
;Put the words in the correct order to form a question. There are two extra options.;;Has*your brother*learning*to*drive;;
;Read the questions. Tap Show to read some answers. Then choose the correct answer for each question.;Have you been watching the new thriller series on TV?;Answer D*Answer A*Answer C*Answer B;dropdown;
;Write the question. Use the words below.;continuous.;Have you been following the news?;text_input;
;Read the question. Listen to two answers. Choose the best answer.;What's up? You look a little annoyed.;PROBLEMAAAAAAS;;
;Listen and complete the conversation.;What's wrong with Mia?;She hasn't been feeling*She's been calling;dropdown;
;;;;;
Vocabulary practice 1: Describing progress;Complete the conversation. There are two extra words.;Good job on the test, Steve.;making*good*progress;buttons_sel;
;Look at the photo and choose the correct answer.;What is happening to the woman?;She's having problems with her car.;listbox;
;Complete the sentence. There is one extra word.;.;have*time;buttons_sel;
;Complete the sentence.;I'm ;doing*best;dropdown;
;Complete the sentence. There are two extra words.;;spend*time;buttons_sel;
;Choose the correct answer.;"Which phrase means ""to spend too much time doing something unnecessary""?";waste time;listbox;
;Complete the sentence.; I have made good ;progress;text_input;
;Complete the conversation;Don't worry! You've;spent*time;text_input;
;Listen and complete the sentence.;Josh has been having;problems;text_input;
;Complete the sentence.;important to;do*best;text_input;
;Look at the photo and complete the sentence. Use two words.;Ed usually;wastes time;text_input;
;;;;;
Vocabulary practice 2: Describing progress;Complete the conversation. There are two extra words.;I'm late for work! And I can't find the report I wrote. What am I going to;it*easy*save*time;buttons_sel;
;Complete the sentences. Use the words below.;but I'm making no ;progress*getting*nowhere*do*best;text_input;
;Complete the sentence. Use one of the words below.;didn't have a;chance;text_input;
;Read the sentence. Then choose the correct answer;Which sentence has the same meaning?;I haven't had a chance to do that.;listbox;
;Listen to the question. Choose all the correct answers.;Which are possible responses?;Unfortunately, I couldn't upload it because I had trouble with my Wi-Fi.*I really hope so because I spent a lot of time on it.*I think so, but I haven't had a chance to check yet.;listbox;
;Read the examples. Then complete the sentence.;You can use the word ;time;dropdown;
;Listen to the woman's problem. Choose the correct answer.;;You could spend time organizing your ideas into paragraphs.;listbox;
;Then complete the sentences.;.;Cristina*Joey;dropdown;
;;;;;
Grammar practice 1: Present perfect vs. present perfect continuous;Choose the correct options. ;I've been making good progress on a personal project. ;unfinished*unfinished*result*result*unfinished;buttons_sel;
;Listen and choose the correct answer.;What's new with Layla?;Layla has been working in a restaurant recently.;listbox;
;Complete the question.;You look tired, but it's only 4 o'clock! What;have you been doing;;
;Complete the sentence.;I;have been studying;dropdown;
;Complete the sentence. There are two extra options.;Anthony;has*run;buttons_sel;
;Complete the sentence.;Do you want to come over? ;I've made;dropdown;
;Complete the conversation. There are two extra words.;Seriously? How many times;have*you*lost;buttons_sel;
;Listen and complete the response.;I'm so tired. I've only;slept*been taking care of;dropdown;
;Complete the sentences.;I'm not sure. ;I've been thinking*haven’t applied;dropdown;
;;;;;
Grammar practice 2: Present perfect vs. present perfect continuous;Complete the conversation.;.;Have*been looking*'ve seen;;
;Read the example sentence and choose the correct answer.;Is Raj still trying to talk to Katie?;Yes, he is.;listbox;
;Read the example sentences and choose the correct answer.;Which statement is true?;Mel has an apartment now.;listbox;
;Complete the conversation.;What have you;been doing*'ve decided*'ve been spending;dropdown;
;Choose the correct answer.;Which sentence has incorrect grammar?;I've been booking a trip to Greece;listbox;
;Choose the correct answers.;Which is the correct sentence?;Daniel has gone to the supermarket three times this week.*I've been taking some cooking classes for a few months.;listbox;
;;.;Have*heard*have been traveling*have not arrived;text_input;
;Complete the conversation.;How long ;have you been waiting*'ve had;text_input;
;;;;;
While you watch;Watch the video. Choose the correct answer;What is the main topic of the video?;serious hobbies that you can do;listbox;
;Watch the video again. Complete the sentences.;With;dog paddleboarding*Salsa dancing*dog paddleboarding*Salsa dancing*salsa dancing*Race car driving;dropdown;
;Watch part of the video. Choose the correct answer.; What does the narrator say next?;Some people take these activities more seriously.;listbox;
;Watch more of the video. Complete the sentences.;Some paddleboarding;instructors*animals*in a different way*with their owners;dropdown;
;Watch part of the video. Choose True, False, or Not Given.;Race car driving is a common hobby.;False*True*Not Given*False;dropdown;
;Watch part of the video. Choose the correct numbers to put the topics in the order you hear them.;a demanding activity;3*2*4*1;dropdown;
;;;;;
After you watch;Listen to Daniel talking about his hobby. Complete the sentences.;Daniel's hobby is ;knitting*three years;;
;Listen again. Choose all the correct answers.;When does Daniel knit?;while he watches TV*while he's on the bus*annoyed*calm*himself*his friends*scarves*hats;listbox;
;;;;;
Functional language practice;Choose the correct responses.;Wow! It's been a long time.;Yeah. What have you been doing?*Not much.*He's really busy.;dropdown;
;Choose the correct numbers to put the conversation in the correct order.; I've been really busy. I started a new class.;3*1*5*4*2;dropdown;
;Listen and choose the correct answer.;How can you use these expressions?;to answer questions about your news;listbox;
;Listen and complete the conversation.;Use expressions to catch up with someone's news.;seen you since*been a long time*up to*same as usual*going on with*Not much;buttons_sel;
;Read the situations. Then complete the sentences with the correct expressions.;You see someone you knew when you were 10 years old.;It's been*have you been*haven't seen you*What have you*not much*I've been busy;buttons_sel;
;Choose the best response.;What's been going on with your business?;We've been really busy – it's great.;listbox;
;Put the words in the correct order to make a question.;.;What's*been*going*on*with*you?;;
;Listen to the question and choose the correct answer.;Which is the best response?;Not much. They're all fine.;listbox;
;;;;;
Real-world strategy;Listen to a conversation between Rosa and Juliet. Choose the correct answers.;What does Rosa suggest?;meeting for lunch on Friday*She thinks it's a good idea.;listbox;
;Read the information. Listen again and complete the response.;That would be;wonderful;dropdown;
;Listen and complete the conversation.;Lenny got another speeding ticket. ;That would be awful;dropdown;
;Complete the conversation.;That would be ;amazing;dropdown;
;Complete the conversations.;My sister's thinking about getting married to Tom!;That'd be wonderfull*That would be terrible.;buttons_sel;
;Test your memory! Complete the expressions.;It's been a;long*since*been*on*as*Not*excellent;buttons_sel;
;;;;;
Listening skills;Listen to a podcast interview and choose the correct answer.;What's Naomi's job?;She's a time management expert.;listbox;
;Listen to the podcast interview again. Choose all the correct answers.;Which two small activities does Naomi talk about?;opening and answering emails*paying bills online;listbox;
;Listen to the first part of the podcast. Complete the sentence.;you do it in;a smart;buttons_sel;
;Listen to part of the podcast. Choose the correct answer.;What do you think a technique is?;a way of doing something;listbox;
;Listen to part of the podcast again. Choose the correct answer.;What are tasks?;things she needs to do;listbox;
;;;;;
Writing skills presentation: Time expressions;Tap Show to read a blog post. Then choose the correct answer.;Has Naomi's technique changed the way Matthew organizes his work?;Yes, he is.;;
;Tap Show to read Matthew's blog post again. Choose True, False, or Not given.;Matthew has problems with homework, but not with emails.;True*False*True*True*Not given;dropdown;
;Matthew's blog post again. Complete the information.;means; right away*up to now*in the past*from now on;buttons_sel;
;Review the time expressions. Complete the rules.;expressions like;up*so*before*on*immediately;text_input;
;;;;;
Writing skill practice;Read the example sentence and choose the correct answer.;What does the expression in bold mean?;immediately;listbox;
;Complete the sentence.;.;From now on;dropdown;
;Complete the sentence.;The project;up to now;buttons_sel;
;Complete the sentence.;.;In the past;dropdown;
;;;;;
Vocabulary review;There are two extra words.;you learned words for describing experiences.;opportunity*challenge*achievement*change*process;buttons_sel;
;Listen and complete the sentences;Andre was;not very good at*happy;dropdown;
;Listen again and complete the sentences.;I knew I needed to do more exercise, so I've recently started running. I was;taking*concentrating on*making*wasted*doing my best;;
;Then complete the sentence.;This person has several ;chores;dropdown;
;Complete the paragraph.;something new. It's a fun;challenge*chore*success;buttons_sel;
;Complete the conversation.;? Oh, no! It's 11! I've been;getting nowhere*a chance*have*save time;dropdown;
;Complete the paragraph;I've been working on a new;project*change*achievement;dropdown;
;Choose the correct answer.;What is the teacher describing?;the process involved in writing an essay;listbox;
;Complete the paragraph.;I've been trying to learn Spanish for two years now, and I'm;getting nowhere*having problems with*aking good progress*wasting*time;buttons_sel;
;Complete the paragraph.;At first, you should;concentrate*spend*chance*best;buttons_sel;
;;;;;
Grammar review;Read the information, then complete the rules.;To talk about an unfinished activity that started in the past, use the present;perfect continuous*perfect;buttons_sel;
;Choose all the sentences that use the present perfect.;;June has run a couple marathons, but she has no plans to do more.*I'm so glad you're home. I've missed you.;listbox;
;Then put the grammar in the correct order. There's one extra option.;What's the grammar pattern for the words in bold?;subject*have been*verb*plus -ing;;
;Complete the conversation.;Have you been planning your wedding?;Yes, I have.;text_input;
;Put the words in the correct order. There are two extra words.;.;I*have*been*studying*a lot*lately.;;
;Complete the sentence.;She's ;eaten;dropdown;
;Complete the sentences.;Has;your brother*they*hasn't;dropdown;
;Put the words in the correct order to make a sentence.;.;We*have*been*working*really*hard*and*making*good*progress.;;
;We have been working really hard and making good progress.;I've ;had*heard;dropdown;
;Read what Simon says. Then complete the explanations.;Simon uses the present perfect to talk about…; jobs he did in the past.*something he's learning about now.;listbox;
;;; ;;
Functional language review;Choose the correct heading for each group of expressions.;Let's review the functional language from Lesson 3.;Asking about someone's news*Answering*Saying how long it's been;buttons_sel;
;Listen. Then choose the correct answer.;Which is the correct response?;I know! I haven't seen your for months!;listbox;
;Put the words in the correct order. There are two extra words.;.;What*have*you*been*up to?;;
;Put the options in the correct categories.;Think about which options can complete each sentence.;2015*April*last year*a long time*months*weeks;buttons_sel;
;Listen to the conversation, and then complete the sentences.;Sofía and Michael know each other from;summer camp*Michael**hasn't*wants;;
;Listen again. Choose the correct speaker for each sentence.;;;;
;Read the question. Then complete the responses.;How can you reply if you haven't been very busy?;same*usual*much;text_input;
;Complete the conversations.;That would be ;terrible*fantastic;buttons_sel;
;;;;;
Listening and writing skills review;Listen to an interview and choose the correct answers.;What's one thing Taka has been doing recently to try to improve his life?;waking up at different times*for a few months;listbox;
;Listen again and choose all the correct answers.;How has the change to his wake times improved Taka's day-to-day mood?;It's made him feel awake and alert.*He's able to take more opportunities.;listbox;
;Listen to part of the conversation again. Choose the correct answers.;What does hack mean?;improve something to make it easier or work better*the best*wide awake and ready to go;listbox;
;Notice the gaps numbered 1–4. Choose all the correct answers.;Which time expressions can go in gap 1 in the blog post?;immediately*right away;listbox;
;Choose all the correct answers.;Which time expressions can go in gap 2 in the blog post?;before*in the past;listbox;
;Choose all the correct answers.;Which time expressions can go in gap 3 in the blog post?;up to now*so far;listbox;
